Country,cunsum,max,sum,max/Max
Belgium,0,0.0202450833740372,0.5297867922323993,0.030867806480155104
Belgium,1,0.1923196254936905,5.1482587649158855,0.29323094760322094
Belgium,2,0.0542139741456705,3.639952964525334,0.08266038877344334
Belgium,3,0.2210394729487364,7.773102139989875,0.33702028040087323
Belgium,4,0.655864011168165,14.027574685032764,1.0
Belgium,5,0.1562759856160881,4.73140922174093,0.2382749822447852
Belgium,6,0.1069615400805592,2.92252568629629,0.16308493568666635
Belgium,7,0.0313380060574735,0.35722566607711187,0.04778125575400472
Bosnia and Herzegovina,0,0.0027724145953163,0.05987812827058001,0.02713468017249459
Bosnia and Herzegovina,1,0.0588535402679659,3.5646287482904655,0.5760220693139478
Bosnia and Herzegovina,2,0.0658525691215041,2.5949397467335795,0.6445242369838425
Bosnia and Herzegovina,3,0.0383681403191678,1.9724587068622041,0.37552363853979587
Bosnia and Herzegovina,4,0.1021723704754255,3.3075782732991588,1.0
Bosnia and Herzegovina,5,0.0207279674393592,0.632417012463983,0.20287253141831227
Brazil,0,0.0323992483471946,2.4247071375120925,0.2327018218778723
Brazil,1,0.0700362269716291,7.749621395630691,0.5030227071660276
Brazil,2,0.1392307463935479,4.102326760081047,1.0
Brazil,3,0.0503713444341339,1.9006960244897262,0.3617831961609606
Colombia,0,0.0256348523410121,1.6788550676996796,0.3712212115211795
Colombia,1,0.0409149973944301,2.7433649387676398,0.5924947294448344
Colombia,2,0.065210096900488,5.267676829831917,0.9443148278285314
Colombia,3,0.0690554622026213,2.170210814921995,1.0
Colombia,4,0.0478467487795478,0.4177472091402359,0.6928742094167254
Croatia,0,0.002371728990434,0.055439165151392016,0.007828793882240236
Croatia,1,0.1141394576646375,5.83843951374303,0.3767607055828155
Croatia,2,0.0825083354706334,3.1422416004103546,0.27235015238740234
Croatia,3,0.1876122082585278,7.546216978712483,0.6192854724009482
Croatia,4,0.30294947422416,12.387535265452673,1.0
Croatia,5,0.0574249807642985,2.3557835342395435,0.18955299695225183
Ireland,0,0.0214426898480397,0.5107331795236498,0.041315594536792254
Ireland,1,0.0371285490259322,0.9242421142452,0.07153897613433352
Ireland,2,0.1634557976938963,3.858283960018608,0.31494525687160224
Ireland,3,0.0422199550382314,2.2477904062354352,0.08134905443687311
Ireland,4,0.518997489651144,18.59607225274752,1.0
Ireland,5,0.1817345546986836,4.901508295476103,0.3501646122042722
Ireland,6,0.0760555237112234,1.9998748302509395,0.1465431437102824
Italy,0,0.0110315053028195,0.406163638661178,0.028584080342179446
Italy,1,0.0688135778398542,3.805680618713417,0.1783050257977468
Italy,2,0.0453225350546716,2.9695717458605855,0.11743664601991032
Italy,3,0.0132347216025642,0.7199888180728691,0.03429290338983784
Italy,4,0.3859317903798749,15.297627792461963,1.0
Italy,5,0.1699214416159468,6.108403451022594,0.4402887915729672
Italy,6,0.2437130927549787,8.42255449649962,0.6314926596616737
Luxembourg,0,0.03473880070239,0.5068057910691115,0.07235618526773366
Luxembourg,1,0.0218902031823279,0.462390886061489,0.045594308524873166
Luxembourg,2,0.1410173233991995,7.046701735328197,0.29371985709139353
Luxembourg,3,0.0606189381061893,3.1006274372562683,0.1262609827530099
Luxembourg,4,0.031403109689031,0.6560281471852782,0.06540839570452306
Luxembourg,5,0.4801082391760824,18.180525697430248,1.0
Luxembourg,6,0.3463716128387161,8.752874712528744,0.7214448421737715
Luxembourg,7,0.215447205279472,6.451698580141981,0.44874715261958986
Luxembourg,8,0.0385898910108989,0.3335603939606033,0.080377481288643
Norway,0,0.0058184116479768,0.16258092100065066,0.010674660634345088
Norway,1,0.017343648304834,0.9710707944673566,0.03181926116896768
Norway,2,0.0204684634045322,1.2732604579610602,0.03755215577190528
Norway,3,0.5450675995503225,24.629293385006783,1.0
Romania,0,0.002714732484655,0.09651574726514986,0.012970503108277636
Romania,1,0.053303227313427,3.739354242385261,0.25467322451033203
Romania,2,0.0347857831743713,1.7927204564045314,0.16620020990554213
Romania,3,0.0986564769234953,3.721336117172276,0.4713628867009844
Romania,4,0.209300476781235,5.84084209733533,1.0
Romania,5,0.0781542561982606,1.849980230001439,0.37340696686491054
Spain,0,0.0214036943012822,0.5279796088537095,0.05763404971724649
Spain,1,0.0528695317313779,3.065296996315149,0.14236258364759197
Spain,2,0.0907188012422032,3.3398371411246925,0.24427988119644028
Spain,3,0.0230914833151431,0.8334635643219787,0.06217878459188232
Spain,4,0.0672919863125649,2.772924608384338,0.1811981441203028
Spain,5,0.3713723815398891,14.250602384228861,1.0
Spain,6,0.0527482956612518,1.5289940578816086,0.1420361294572631
Spain,7,0.1763401401433068,1.9533003274228484,0.4748337488429147
